"midas","year","zsmed","Ts","zT","zhypox","zanox","Ps","Pb","Chla","strat_on","strat_off","strat_days","hypox_on","hypox_off","hypox_days","anox_on","anox_off","anox_days","ice_out","ice_days"
"0007",2008,3.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",2009,3.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",2010,3.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",2011,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",2012,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",2013,3.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",2014,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",2015,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",2016,4,25,5,6,6,15,21,5,238,238,0,238,238,0,238,238,0,NA,NA
"0007",2017,3.75,23.95,3,4,5,15,NA,4.4,175,271,96,175,281,106,185,281,96,NA,NA
"0007",2018,3.35,22.7,3,4,4,NA,NA,NA,144,253,109,156,266,110,183,266,83,NA,NA
"0008",1978,5.7,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0009",1980,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0009",1981,2.75,12.5,0.1,0.05,0.05,19,NA,2.9,135,135,0,79,135,56,79,135,56,NA,NA
"0009",1996,5.4,21.1,5,7,11,11,12,2.5,225,225,0,225,225,0,225,225,0,NA,NA
"0009",2001,4.75,20.2,9,10,10,7,NA,3.9,241,241,0,241,241,0,241,241,0,NA,NA
"0012",1974,5.05,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1975,6.6,8.3,8,5.5,12,NA,NA,3.2,265,265,0,77,265,188,77,265,188,NA,NA
"0012",1976,5.9,NA,NA,NA,NA,7,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1977,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1978,6.6,18.5,NA,NA,NA,9,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1981,7,21.5,6,12,26,6,11,1.5,248,248,0,248,248,0,248,248,0,NA,NA
"0012",1982,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1983,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1984,5.55,18.4,6,10,NA,6,7,3.3,257,257,0,257,257,0,NA,NA,NA,NA,NA
"0012",1985,6.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1986,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1987,6,21.5,5,7,7,NA,NA,NA,223,223,0,223,223,0,223,223,0,NA,NA
"0012",1988,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1989,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1990,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1991,6,21,6,19,NA,9,NA,NA,234,234,0,234,234,0,NA,NA,NA,NA,NA
"0012",1993,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1994,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1995,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1996,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1997,6,23.9,1,6,6,5,NA,1,223,223,0,223,223,0,223,223,0,NA,NA
"0012",1998,6.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",1999,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2000,5.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2001,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2002,8.2,26.2,2,6,6,4,NA,2,227,227,0,227,227,0,227,227,0,NA,NA
"0012",2003,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2004,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2005,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2006,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2007,7.9,22,5,NA,NA,4,14,1.9,240,240,0,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2008,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2009,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2010,8.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2011,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2012,7.4,20,7,9,NA,4,NA,4.1,261,261,0,261,261,0,NA,NA,NA,NA,NA
"0012",2013,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2014,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2015,7.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2016,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2017,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0012",2018,8.07,24.8,6,17,NA,4,5,2,190,249,59,249,249,0,NA,NA,NA,NA,NA
"0019",1980,4,14,2,6,6,13.5,NA,4.9,109,304,195,109,304,195,109,304,195,NA,NA
"0034",2000,2.15,17.95,NA,NA,NA,14,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",1988,1.9,16,1,2,2,NA,NA,NA,235,235,0,235,235,0,235,235,0,NA,NA
"0035",1991,1.7,20.4,NA,2,2,NA,NA,NA,NA,NA,NA,239,239,0,239,239,0,NA,NA
"0035",1995,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",1998,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",1999,1.88,23.4,0,2,3,49,NA,13,224,224,0,224,224,0,224,224,0,NA,NA
"0035",2000,1.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2001,1.5,23,0,2,2,NA,NA,NA,235,235,0,235,235,0,235,235,0,NA,NA
"0035",2002,1.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2003,1.45,26,0,2,2,NA,88,NA,230,230,0,230,230,0,230,230,0,NA,NA
"0035",2004,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2005,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2006,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2007,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2008,2.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2009,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2010,1.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2011,1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2012,1.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2013,1.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2014,1.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2015,1.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2016,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2017,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0035",2018,2.34,21.2,0,3,3,NA,NA,NA,256,256,0,256,256,0,256,256,0,NA,NA
"0037",2015,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0037",2016,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0037",2017,2.88,23,NA,NA,NA,16,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0037",2018,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1981,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1982,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1983,1.9,24.5,0,NA,NA,26,NA,5.9,250,250,0,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1984,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1985,1.8,18,0,NA,NA,18,NA,5.3,247,247,0,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1986,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1987,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1988,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1989,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1990,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1991,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1992,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1993,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1994,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1995,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1996,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1997,1.7,22.6,0,2,NA,NA,NA,NA,226,226,0,226,226,0,NA,NA,NA,NA,NA
"0041",1998,2,22.8,NA,NA,NA,12,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",1999,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",2000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",2001,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",2003,2.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",2004,2.1,22.7,NA,NA,NA,17,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0041",2005,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0044",1997,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0044",1998,4.785,21.1,5,6,7,7,10,8.1,231,231,0,231,231,0,231,231,0,NA,NA
"0044",1999,5.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0044",2000,4.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0044",2001,5.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0044",2002,5.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0044",2003,5.45,23.3,5,7,8,1,6,2.6,230,230,0,230,230,0,230,230,0,NA,NA
"0044",2004,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0044",2005,4.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0044",2006,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0044",2007,5.385,22.8,7,8,9,12,7,3.1,225,225,0,225,225,0,225,225,0,NA,NA
"0044",2008,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0044",2009,4.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0044",2010,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0044",2013,4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0044",2014,5.46,21.3,5,NA,NA,6,NA,2.7,240,240,0,NA,NA,NA,NA,NA,NA,NA,NA
"0048",1983,8,20,8,NA,NA,7,NA,2,227,227,0,NA,NA,NA,NA,NA,NA,NA,NA
"0048",1984,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0048",1986,8.6,21.5,7,NA,NA,5,4,NA,226,226,0,NA,NA,NA,NA,NA,NA,NA,NA
"0048",2009,6.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0048",2010,5.95,21.4,10,NA,NA,5,NA,1.8,244,244,0,NA,NA,NA,NA,NA,NA,NA,NA
"0048",2011,6.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0048",2012,5.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0048",2013,5.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0048",2014,5.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0048",2015,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0048",2016,6.25,19.5,11,NA,NA,3,NA,1.5,257,257,0,NA,NA,NA,NA,NA,NA,NA,NA
"0048",2017,6.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0048",2018,6.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0050",1993,1.1,21.9,1,NA,NA,NA,NA,NA,179,179,0,NA,NA,NA,NA,NA,NA,NA,NA
"0062",1996,5.7,22.9,3,4,4,17,23,2,226,226,0,226,226,0,226,226,0,NA,NA
"0070",1970,6.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1971,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1972,6.1,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1973,5.85,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1978,5.3,18,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1980,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1981,3.7,21.5,0,NA,NA,10,NA,4.1,247,247,0,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1982,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1983,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1984,4.8,20.2,NA,NA,NA,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1985,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1986,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1987,6.2,22,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1989,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1990,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1991,6.2,21.9,1,NA,NA,7,NA,NA,234,234,0,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1992,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1993,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1994,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0070",1995,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
